"product_id","category","total_revenue","revenue_rank","cumulative_revenue_pct","product_number","total_products","pareto_segment"
"bb50f2e236e5eea0100680137654686c","health_beauty",67258.03,1,0.44,1,32216,"Top 20% Products"
"d1c427060a0f73f6b889a5c7c61f2ac4","computers_accessories",58957.31,2,0.82,2,32216,"Top 20% Products"
"6cdd53843498f92890544667809f1595","health_beauty",57933.73,3,1.19,3,32216,"Top 20% Products"
"99a4788cb24856965c36a24e339b6058","bed_bath_table",49907.50,4,1.52,4,32216,"Top 20% Products"
"3dd2a17168ec895c781a9191c1e95ad7","computers_accessories",47876.06,5,1.83,5,32216,"Top 20% Products"
"d6160fb7873f184099d9bc95e30376af","computers",47314.18,6,2.14,6,32216,"Top 20% Products"
"aca2eb7d00ea1a7b8ebd4e68314663af","furniture_decor",44197.75,7,2.42,7,32216,"Top 20% Products"
"5f504b3a1c75b73d6151be81eb05bdc9","cool_stuff",41725.81,8,2.69,8,32216,"Top 20% Products"
"25c38557cf793876c5abdd5931f922db","baby",40311.95,9,2.95,9,32216,"Top 20% Products"
"53b36df67ebb7c41585e8d54d6772e08","watches_gifts",39713.49,10,3.21,10,32216,"Top 20% Products"
"e0d64dcfaa3b6db5c54ca298ae101d05","watches_gifts",35162.31,11,3.44,11,32216,"Top 20% Products"
"422879e10f46682990de24d770e7f83d","garden_tools",34201.26,12,3.66,12,32216,"Top 20% Products"
"f1c7f353075ce59d8a6f3cf58f419c9c","bed_bath_table",33086.95,13,3.88,13,32216,"Top 20% Products"
"d285360f29ac7fd97640bf0baef03de0","watches_gifts",32509.27,14,4.09,14,32216,"Top 20% Products"
"7a10781637204d8d10485c71a6108a2e","watches_gifts",32329.18,15,4.30,15,32216,"Top 20% Products"
"f819f0c84a64f02d3a5606ca95edd272","watches_gifts",29846.05,16,4.49,16,32216,"Top 20% Products"
"588531f8ec37e7d5ff5b7b22ea0488f8","computers",29080.21,17,4.68,17,32216,"Top 20% Products"
"389d119b48cf3043d311335e499d9c6b","garden_tools",28543.65,18,4.86,18,32216,"Top 20% Products"
"368c6c730842d78016ad823897a372db","garden_tools",27984.40,19,5.05,19,32216,"Top 20% Products"
"a62e25e09e05e6faf31d90c6ec1aa3d1","watches_gifts",27742.70,20,5.22,20,32216,"Top 20% Products"
"53759a2ecddad2bb87a079a1f1519f73","garden_tools",27268.23,21,5.40,21,32216,"Top 20% Products"
"16c4e87b98a9370a9cbc3a4658a3f45b","musical_instruments",26630.15,22,5.57,22,32216,"Top 20% Products"
"5a848e4ab52fd5445cdc07aab1c40e48","Uncategorized",26315.15,23,5.75,23,32216,"Top 20% Products"
"2b4609f8948be18874494203496bc318","health_beauty",26127.92,24,5.91,24,32216,"Top 20% Products"
"52c80cedd4e90108bf4fa6a206ef6b03","garden_tools",25188.99,25,6.08,25,32216,"Top 20% Products"
"19c91ef95d509ea33eda93495c4d3481","health_beauty",24038.01,26,6.23,26,32216,"Top 20% Products"
"461f43be3bdf8844e65b62d9ac2c7a5a","watches_gifts",22860.65,27,6.38,27,32216,"Top 20% Products"
"a5215a7a9f46c4185b12f38e9ddf2abc","computers",22411.02,28,6.53,28,32216,"Top 20% Products"
"1dec4c88c685d5a07bf01dcb0f8bf9f8","auto",22228.51,29,6.67,29,32216,"Top 20% Products"
"bc4cd4da98dd128c39bf0b8c2674032f","computers",22184.44,30,6.82,30,32216,"Top 20% Products"
"c4baedd846ed09b85f78a781b522f126","garden_tools",20779.41,31,6.95,31,32216,"Top 20% Products"
"6f3b5b605d91b7439c5e3f5a8dffeea7","watches_gifts",20765.94,32,7.08,32,32216,"Top 20% Products"
"fd0065af7f09af4b82a0ca8f3eed1852","auto",20341.34,33,7.22,33,32216,"Top 20% Products"
"8c591ab0ca519558779df02023177f44","garden_tools",19563.55,34,7.34,34,32216,"Top 20% Products"
"165f86fe8b799a708a20ee4ba125c289","cool_stuff",19310.72,35,7.47,35,32216,"Top 20% Products"
"1a080577618e7fe4d9ddd8fb2b47a964","watches_gifts",18938.17,36,7.59,36,32216,"Top 20% Products"
"7814c273ab16783d73a9863ebfa8b141","furniture_decor",18273.08,37,7.71,37,32216,"Top 20% Products"
"e53e557d5a159f5aa2c5e995dfdf244b","computers_accessories",18174.21,38,7.83,38,32216,"Top 20% Products"
"af51d485dc5255ba2e18b21b550156e6","luggage_accessories",18135.93,39,7.95,39,32216,"Top 20% Products"
"d5991653e037ccb7af6ed7d94246b249","computers_accessories",18070.61,40,8.06,40,32216,"Top 20% Products"
"e7cc48a9daff5436f63d3aad9426f28b","telephony",17820.94,41,8.18,41,32216,"Top 20% Products"
"fb01a5fc09b9b9563c2ee41a22f07d54","consoles_games",17502.96,42,8.29,42,32216,"Top 20% Products"
"601a360bd2a916ecef0e88de72a6531a","cool_stuff",17111.55,43,8.40,43,32216,"Top 20% Products"
"8ed094bfe076c568f6bb10feada3f75d","office_furniture",16971.94,44,8.51,44,32216,"Top 20% Products"
"35afc973633aaeb6b877ff57b2793310","home_confort",16803.37,45,8.62,45,32216,"Top 20% Products"
